ßÒ	63-50,77-78	72C0,F9FA	»ó,Àå	sang,jang
ßÝ	63-61,63-65	585E,F96C	»õ,»ö	sae,saeg
àý	63-72,64-93	F96D,7701	»ý,¼º	saeng,seong
àã	64-67,65-13,70-82	8AAA,F96F,F9A1	¼³,¼¼,¿­	seol,se,yeol
ç¨	64-81,71-08	F96E,8449	¼·,¿±	seob,yeob
ã¦	67-06,68-09	62FE,F973	½À,½Ê	seub,sib
ãÛ	67-59,82-29	8B58,F9FC	½Ä,Áö	sig,ji
òã	67-85,82-67	F971,8FB0	½Å,Áø	sin,jin
öØ	68-01,86-56	F972,6C88	½É,Ä§	sim,cim
ä§	68-07,82-90	4EC0,F9FD	½Ê,Áý	sib,jib
äÂ	68-34,71-87	60E1,F9B9	¾Ç,¿À	ag,o
å´	69-14,69-20	F974,82E5	¾ß,¾à	ya,yag
æ¶	70-22,76-15	6613,F9E0	¿ª,ÀÌ	yeog,i
ìÖ	70-76,76-54	F99E,54BD	¿­,ÀÎ	yeol,in
û©	71-33,91-09	F9AE,7469	¿µ,Çü	yeong,hyeong
èÖ	72-54,74-33	962E,F9C6	¿Ï,¿ø	wan,weon
ý»	73-87,93-27	F9C5,6688	¿î,ÈÆ	un,hun
í©	77-09,84-07	523A,F9FF	ÀÚ,Ã´	ja,ceog
í³	77-19,78-59	7099,F9FB	ÀÚ,Àû	ja,jeog
ï·	79-23,84-78	5207,FA00	Àý,Ã¼	jeol,ce
ô¬	84-12,86-86	62D3,FA02	Ã´,Å¹	ceog,tag
øì	88-59,88-76	FA06,66B4	Æ÷,Æø	po,pog
ú¼	90-01,90-28	FA08,884C	Ç×,Çà	hang,haeng
